grievance,urgency
children are exposed to an open manhole and residents are facing problems,CRITICAL
main report karna chahta hoon ki public bench purani hai hamare area mein,LOW
"in our locality, people are drinking contaminated water please resolve this",CRITICAL
"कृपया मदद करें, स्कॉलरशिप जारी नहीं हुई है",HIGH
"please help, sewage water is overflowing on the main roaad please resolve this",CRITICAL
"please action lein, shcool ke paas open manhole hai kai dino se",CRITICAL
"please help, public bench is old please resolve this",LOW
there is a problem where drainage needs cleaning,MEDIUM
मैं शिकायत करना चाहता हूं कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है कृपया कार्रवाई करें,MEDIUM
"मेरे घर के पास, रिहायशी इलाके के पास गैस लीक हो रही है कृपया इसे जल्द हल करें",CRITICAL
there is a problem where drinking water is contaminated please resolve this,CRITICAL
मैं शिकायत करना चाहता हूं कि मुख्य सड़क पर सीवेज का पानी बह रहा है हमारे इलाके में,CRITICAL
"mere ghar ke paas, damaged rod ki wajah se major accident hua hai hamare area mein",CRITICAL
"mere ghar ke paas, main road par sewage water overflow ho raha hai kai dino se",CRITICAL
main road is badly damaged please resolve this,HIGH
"near my house, street light is flickering and residents are facing problems",MEDIUM
park railing ki repair chahiye kai dino se,LOW
"please help, stret sign faded ho gaya hai hamare area mein",LOW
"कृपया मदद करें, रिहायशी इमारतों के पास कूड़ा जमा हो रहा है हमारे इलाके में",HIGH
"please help, one dustbin is damaged and residents are facing problems",LOW
हमारे इलाके में समस्या है कि सार्वजनिक बेंच पुरानी है कृपया कार्रवाई करें,LOW
